==========
Args:Namespace(arch='resnet50', dataset='market1501_duke', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='1', height=256, htri_only=False, labelsmooth=False, lr=0.0002, margin=0.3, max_epoch=400, num_instances=4, optim='adam', print_freq=10, resume='', root='data', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=150, train_batch=32, use_cpu=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 1
Initializing dataset market1501_duke
=> market1501_duke loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |  1453 |    29458
  ------------------------------
Initializing model: resnet50
Model size: 26.75160M
==> Start training
Epoch: [6][120/181]	Time 0.509 (0.514)	Data 0.021 (0.024)	Loss 7.8662 (7.6255)	CLoss 7.2658 (7.2515)	GLoss 0.2022 (0.1707)	LLoss 0.3983 (0.2033)	
Epoch: [6][130/181]	Time 0.510 (0.513)	Data 0.021 (0.024)	Loss 7.5916 (7.6290)	CLoss 7.2587 (7.2547)	GLoss 0.1759 (0.1705)	LLoss 0.1570 (0.2037)	
Epoch: [6][140/181]	Time 0.511 (0.513)	Data 0.021 (0.023)	Loss 7.8289 (7.6394)	CLoss 7.3234 (7.2606)	GLoss 0.1714 (0.1715)	LLoss 0.3341 (0.2073)	
Epoch: [6][150/181]	Time 0.510 (0.513)	Data 0.021 (0.023)	Loss 7.5563 (7.6458)	CLoss 7.3376 (7.2643)	GLoss 0.0806 (0.1719)	LLoss 0.1381 (0.2096)	
Epoch: [6][160/181]	Time 0.510 (0.513)	Data 0.021 (0.023)	Loss 8.2884 (7.6518)	CLoss 7.4476 (7.2704)	GLoss 0.2807 (0.1716)	LLoss 0.5601 (0.2098)	
Epoch: [6][170/181]	Time 0.511 (0.513)	Data 0.021 (0.023)	Loss 8.0067 (7.6582)	CLoss 7.3063 (7.2733)	GLoss 0.2529 (0.1724)	LLoss 0.4475 (0.2125)	
Epoch: [6][180/181]	Time 0.509 (0.513)	Data 0.021 (0.023)	Loss 7.7030 (7.6539)	CLoss 7.3258 (7.2749)	GLoss 0.1659 (0.1697)	LLoss 0.2114 (0.2092)	
Epoch: [7][10/181]	Time 0.511 (0.546)	Data 0.021 (0.055)	Loss 7.2543 (7.6119)	CLoss 7.2093 (7.1683)	GLoss 0.0221 (0.1948)	LLoss 0.0229 (0.2488)	
Epoch: [7][20/181]	Time 0.511 (0.528)	Data 0.021 (0.038)	Loss 7.7564 (7.5195)	CLoss 7.0042 (7.1620)	GLoss 0.2927 (0.1572)	LLoss 0.4595 (0.2002)	
Epoch: [7][30/181]	Time 0.511 (0.522)	Data 0.021 (0.032)	Loss 7.3641 (7.5129)	CLoss 7.1788 (7.1471)	GLoss 0.0729 (0.1662)	LLoss 0.1123 (0.1997)	
Epoch: [7][40/181]	Time 0.511 (0.519)	Data 0.021 (0.029)	Loss 7.5020 (7.5094)	CLoss 7.1361 (7.1539)	GLoss 0.1954 (0.1593)	LLoss 0.1706 (0.1962)	
Epoch: [7][50/181]	Time 0.509 (0.518)	Data 0.021 (0.028)	Loss 7.1659 (7.5038)	CLoss 7.1535 (7.1569)	GLoss 0.0016 (0.1578)	LLoss 0.0107 (0.1891)	
Epoch: [7][60/181]	Time 0.510 (0.517)	Data 0.021 (0.027)	Loss 7.6332 (7.5296)	CLoss 7.1088 (7.1591)	GLoss 0.2477 (0.1678)	LLoss 0.2767 (0.2027)	
Epoch: [7][70/181]	Time 0.510 (0.516)	Data 0.021 (0.026)	Loss 7.6201 (7.5493)	CLoss 7.2310 (7.1624)	GLoss 0.1962 (0.1774)	LLoss 0.1929 (0.2095)	
Epoch: [7][80/181]	Time 0.510 (0.515)	Data 0.021 (0.025)	Loss 7.5842 (7.5620)	CLoss 7.3193 (7.1717)	GLoss 0.1455 (0.1780)	LLoss 0.1193 (0.2124)	
Epoch: [7][90/181]	Time 0.511 (0.515)	Data 0.021 (0.025)	Loss 7.7644 (7.5555)	CLoss 7.2166 (7.1765)	GLoss 0.2076 (0.1735)	LLoss 0.3401 (0.2055)	
Epoch: [7][100/181]	Time 0.509 (0.514)	Data 0.021 (0.024)	Loss 7.6495 (7.5584)	CLoss 7.3334 (7.1826)	GLoss 0.1481 (0.1720)	LLoss 0.1681 (0.2039)	
